0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16
2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17
3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12
4 5 3 1 2 0 10 11 9 7 8 6 16 17 15 13
5 3 4 2 0 1 11 9 10 8 6 7 17 15 16 14
6 7 8 9 10 11 0 1 2 3 4 5 18 19 20 21
7 8 6 10 11 9 1 2 0 4 5 3 19 20 18 22
8 6 7 11 9 10 2 0 1 5 3 4 20 18 19 23
9 10 11 6 7 8 3 4 5 0 1 2 21 22 23 18
10 11 9 7 8 6 4 5 3 1 2 0 22 23 21 19
11 9 10 8 6 7 5 3 4 2 0 1 23 21 22 20
12 13 14 15 16 17 18 19 20 21 22 23 0 1 2 3
13 14 12 16 17 15 19 20 18 22 23 21 1 2 0 4
14 12 13 17 15 16 20 18 19 23 21 22 2 0 1 5
15 16 17 12 13 14 21 22 23 18 19 20 3 4 5 0
